Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
HVAC-25-230,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/22/2025 10:42,Residential,"1661 ELBERTA AVE SW, NORTH CANTON, OH 44709",7277,SITTLER ENTERPRISES,
HVAC-25-229,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/23/2025 12:44,Commercial/Industrial,"1616 S MAIN ST, Unit 103, NORTH CANTON, OH 44709",8500,Hagan Heating and Plumbing,
ELCT-25-113,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",7/22/2025 18:50,Residential,"1403 CASTLEWOOD AVE SW, NORTH CANTON, OH 44720",200,,The shed electric will come from a dedicated outdoor rated wire cable circuit run from the primary house electrical panel to the shed GFCI CIRCUIT OUTLET.
HVAC-25-227,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/21/2025 15:47,Residential,"458 DILLON CIR NE, NORTH CANTON, OH 44720",5800,"My HVAC Guy, LLC",
HVAC-25-225,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/18/2025 19:11,Commercial/Industrial,"183 APPLEGROVE ST NE, Unit A10, NORTH CANTON, OH 44720",3363,Wyles Heating & Air Conditioning,
HVAC-25-224,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/18/2025 19:39,Residential,"1235 7TH ST NE, NORTH CANTON, OH 44720",16008.62,Bonsky Heating & Cooling LLC,
DEMO-25-8,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),8/11/2025 14:09,Residential,"1605 E MAPLE ST, NORTH CANTON, OH 44720",23875,Liberty Demolition & Salvage LLC,
HVAC-25-223,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/18/2025 16:55,Commercial/Industrial,"1747 BEECHWOOD AVE NE, Unit 06, NORTH CANTON, OH 44720",3363,Wyles Heating & Air Conditioning,
ELCT-25-112,Electrical Permit,Residential Electrical Permit,New Service/Change,7/18/2025 15:56,Residential,"519 WOODLAND AVE SW, NORTH CANTON, OH 44720",1500,DOLPHIN GROUP INC DBA DOLPHIN ELECTRIC,"DOLPHIN ELECTRIC TO PROVIDE AND INSTALL (1) NEW 100AMP SERVICE DROP IN CONDUIT, REPLACING EXISTING. NEC REQUIRES NEW METERBASE WITH MAIN BREAKER OUTSIDE. REMOVE EXISTING METERBASE AND SIDING, REPLACING WITH NEW WHITE SIDING BLOCK AT CORRECT HEIGHT. PATCH SIDING AT OLD METER LOCATION. INSTALL NEW COMMUNICATION BLOCK AS REQUIRED."
ROOF-25-116,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/18/2025 15:30,Residential,"860 TERRACE RD NW, NORTH CANTON, OH 44720",9900,Terry Friel,Tear off existing roof.  Install new asphalt dimensional shingle roof
HVAC-25-226,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Roof Top Unit/Comm,8/5/2025 19:56,Commercial/Industrial,"6434 WISE AVE NW, Unit Rear, NORTH CANTON, OH 44720",20865,"My HVAC Guy, LLC",
ELCT-25-111,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,8/29/2025 16:01,Residential,"803 CIRCLE HILL RD SE, NORTH CANTON, OH 44720",6561,"Ambia Energy, LLC",3.645 kW residential solar system to be installed on roof
RBLD-25-104,Residential Building Permit,Residential Building Permit,Alteration/Remodel,8/20/2025 18:35,Residential,"803 CIRCLE HILL RD SE, NORTH CANTON, OH 44720",6561,"Ambia Energy, LLC",3.645 kW residential solar system to be installed on roof
PLMB-25-146,Plumbing Permit,Residential Plumbing Permit,Water Heater,7/29/2025 14:54,Residential,"119 ROYER AVE NW, NORTH CANTON, OH 44720",2525.45,Miracle Plumbing & Heating Co. Inc.,Replace 40 gallon gas water heater
ELCT-25-115,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",7/24/2025 16:16,Residential,"544 WINESAP AVE SW, NORTH CANTON, OH 44709",2375,"Gragg Electrical Services, LLC",Pull two new circuits from basement panel to right side of house.Pull one circuit from panel into attic to far side of garage.Wire and install two new duplex receptacles in new box with in use cover. 
ROOF-25-115,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/17/2025 18:22,Residential,"606 6TH ST NW, NORTH CANTON, OH 44720",13490,Strongback Construction LTD.,Tear off Asphalt roof and install new roof on entire home.
RBLD-25-103,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/16/2025 16:09,Residential,"2061 KINGSCOTE CIR NE, NORTH CANTON, OH 44720",20000,,Partial Finish out of basement.
HVAC-25-222,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/17/2025 15:21,Residential,"1535 MABRY MILL DR SW, NORTH CANTON, OH 44709",12000,"Crown Heating & Cooling, Inc",
HVAC-25-221,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/21/2025 19:47,Residential,"420 VIKING ST NW, NORTH CANTON, OH 44720",7500,Bryant Heating & Cooling,
PLMB-25-184,Plumbing Permit,Commercial Plumbing Permit,Alteration/Remodel,9/23/2025 19:35,Commercial/Industrial,"1178 S MAIN ST, NORTH CANTON, OH 44720",25000,"Whisler Plumbing & Heating, Inc.","Install underground piping for new nail salon. Includes 3 floor sinks and 2 lav sinks, 1 washing machine box and 1 laundry tub."
HVAC-25-220,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/17/2025 14:09,Residential,"1532 SPERRY LN SE, NORTH CANTON, OH 44709",7000,"Crown Heating & Cooling, Inc",
ROOF-25-114,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/17/2025 12:14,Residential,"849 GLENDALE ST SW, NORTH CANTON, OH 44720",8500,Anthony Roofing,"Remove old shingles, install new accessories to include a 30 year three dimensional shingle "
WNDW-25-59,Window Permit,Residential Window Permit,Replacement (Exact),7/17/2025 12:41,Residential,"331 SUMMIT ST SW, NORTH CANTON, OH 44720",13488,,REMOVE & REPLACE 3 WINDOWS;  LIKE FOR LIKE SIZE; NO STRUCTURAL CHANGES
HVAC-25-219,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/18/2025 17:59,Residential,"1671 HALIFAX WAY SE, CANTON, OH 44709",7200,Jerry's Mechanical Services LLC,
HVAC-25-218,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/16/2025 16:34,Residential,"1959 KINGSCOTE CIR NE, NORTH CANTON, OH 44720",7900,"Crown Heating & Cooling, Inc",
HVAC-25-217,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/16/2025 14:23,Residential,"1036 LIBERTY LN NW, NORTH CANTON, OH 44720",5840,SITTLER ENTERPRISES,
HVAC-25-216,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/16/2025 14:21,Residential,"1374 WESTFIELD AVE SW, NORTH CANTON, OH 44720",7145,SITTLER ENTERPRISES,
HVAC-25-215,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/16/2025 12:49,Commercial/Industrial,"315 HILLCREST AVE NW, Unit 13, NORTH CANTON, OH 44720",6899,"AMERIPRO PLUMBING AND HEATING, LLC",
ELCT-25-110,Electrical Permit,Residential Electrical Permit,New Construction/Addition,7/24/2025 19:07,Residential,"341 HEATHERWOOD ST SW, NORTH CANTON, OH 44720",12000,rafferty electric inc,new house with temp pole
RBLD-25-102,Residential Building Permit,Residential Building Permit,Addition,8/13/2025 19:48,Residential,"911 LYNBROOK ST SE, NORTH CANTON, OH 44720",39990,Hometown Roofing & Construction,Construction of new covered front porch. Replacement of asphalt shingle system with standing-seam metal roofing. Installation of new gutter system.
PLMB-25-145,Plumbing Permit,Commercial Plumbing Permit,New Construction/Addition,9/16/2025 12:50,Commercial/Industrial,"9048 MERIDIAN CIR NW, NORTH CANTON, OH 44720",2753400,Countryside Plumbing Inc.,"14,640 sf manufacturing and office addition to an existing building and some minor remodeling inside the existing building.  We were instructed to apply for a plumbing plan review / permit as water is provided to this parcel by City of N. Canton water department."
WTAP-25-16,New Water Service / Tap-In,Water Connection Permit (Non-Residential),Commercial,8/14/2025 13:03,,"495 7TH ST NE, NORTH CANTON, OH 44720",,,
ELCT-25-109,Electrical Permit,Commercial Electrical Permit,New Construction/Addition,7/15/2025 19:35,Commercial/Industrial,"495 7TH ST NE, NORTH CANTON, OH 44720",34385,"Speelman Electric, LLC","UNDERGROUND PIPE, DATA, UTILITY POWER FOR FUTURE CONDUITSBUILDING PERMIT NUMBER IS CBLD-25-41"
LTRL-25-50,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Sewer Lateral Repair/Replace,8/20/2025 12:35,Commercial/Industrial,"627 S MAIN ST, NORTH CANTON, OH 44720",2000,Doug Mullaly plumbing,Repair in place approximately 30 feet of sewer lateral
RBLD-25-101,Residential Building Permit,Residential Building Permit,New Accessory Structure,8/8/2025 18:57,Residential,"124 WILLAMAN AVE NW, NORTH CANTON, OH 44720",100000,J Yoder Construction LLC,"Remove old detached garage structure, and build new 20'x20' detached garage behind house"
HVAC-25-214,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/14/2025 15:48,Commercial/Industrial,"175 APPLEGROVE ST NE, Unit B11, NORTH CANTON, OH 44720",3363,Wyles Heating & Air Conditioning,
ROOF-25-113,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/14/2025 14:14,Residential,"1629 HALIFAX WAY SE, CANTON, OH 44709",24850,Pioneer Roofing II llc,reroof
HVAC-25-213,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/14/2025 20:11,Residential,"247 BACHTEL ST SW, NORTH CANTON, OH 44720",8959,Heartland Home Services dba Blind and Sons LLC,
RBLD-25-100,Residential Building Permit,Residential Building Permit,Addition,9/16/2025 16:26,Residential,"350 EDGEWOOD ST SE, NORTH CANTON, OH 44720",5000,,Add new pantry to existing home.
HVAC-25-212,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/14/2025 13:16,Residential,"1327 LORRELL AVE SW, NORTH CANTON, OH 44720",5845.16,Bonsky Heating & Cooling LLC,
PLMB-25-144,Plumbing Permit,Commercial Plumbing Permit,Water Heater,7/15/2025 19:02,Commercial/Industrial,"175 APPLEGROVE ST NE, Unit C1, NORTH CANTON, OH 44720",1868.93,"JEM Plumbing, INC",Hot water tank replacement
ROOF-25-112,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/11/2025 18:13,Residential,"217 5TH ST NE, NORTH CANTON, OH 44720",13264.4,JBL Roofing and Construction,Tear off existing asphalt shingles. Install new GAF roofing system. Up to Ohio building code standards
PLMB-25-143,Plumbing Permit,Commercial Plumbing Permit,Water Heater,7/15/2025 19:02,Commercial/Industrial,"1664 N MAIN ST, Unit 24, NORTH CANTON, OH 44720",1771.74,"JEM Plumbing, INC","Hot water tank replacement,located in suite 24"
PLMB-25-142,Plumbing Permit,Residential Plumbing Permit,New Construction/Addition,7/11/2025 13:12,Residential,"980 DUNWAY AVE NE, NORTH CANTON, OH 44720",32800,"Grabill Plumbing & Heating, Inc",New Home Plumbing
HVAC-25-228,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/23/2025 12:41,Commercial/Industrial,"1616 S MAIN ST, Unit 300, NORTH CANTON, OH 44709",8500,Hagan Heating and Plumbing,
ROOF-25-111,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/10/2025 20:12,Residential,"1495 DEMOCRACY DR NW, NORTH CANTON, OH 44720",10812,Right choice exteriors LLC,Roof install
HVAC-25-211,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/10/2025 19:14,Residential,"1609 S MAIN ST, Unit 20, CANTON, OH 44709",11500,,
WNDW-25-58,Window Permit,Residential Window Permit,Replacement (Exact),7/11/2025 19:00,Residential,"1409 CASTLEWOOD AVE SW, NORTH CANTON, OH 44720",2807.85,,3 same size window replacements 
PLMB-25-141,Plumbing Permit,Commercial Plumbing Permit,Water Heater,7/10/2025 17:17,Commercial/Industrial,"1745 BEECHWOOD AVE NE, Unit 04, NORTH CANTON, OH 44720",1729.26,"JEM Plumbing, INC",Hot water tank replacement
LTRL-25-49,Water or Sewer Lateral Permit,Residential Plumbing Permit,New Sewer Lateral,7/17/2025 18:08,Residential,"920 ROYAL OAK AVE NE, NORTH CANTON, OH 44720",800000,Werab Enterprises,Tie into city sewer for new house
PLMB-25-140,Plumbing Permit,Residential Plumbing Permit,Water Heater,7/10/2025 12:59,Residential,"119 ROYER AVE NW, NORTH CANTON, OH 44720",1645,BAUM PLUMBING LLC,40 Gallon Gas Water Heater Replacement
WNDW-25-57,Window Permit,Residential Window Permit,Replacement (Exact),7/16/2025 11:41,Residential,"1618 ARNESBY CIR NW, NORTH CANTON, OH 44720",2800,,"Remove and replace 2 windows, no structural change."
RBLD-25-97,Residential Building Permit,Residential Building Permit,Repair,7/16/2025 12:06,Residential,"914 7TH ST NE, NORTH CANTON, OH 44720",1000,StructurePros LLC,Install new stairs and Interior renovations.
HVAC-25-210,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/9/2025 20:17,Residential,"1388 COLLEGE ST SE, NORTH CANTON, OH 44720",5083,Bonsky Heating & Cooling LLC,
HVAC-25-209,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/10/2025 15:00,Residential,"454 WERSTLER AVE NW, NORTH CANTON, OH 44720",5990,Shanklin Heating and Air Conditioning LLC,
RBLD-25-96,Residential Building Permit,Residential Building Permit,Repair,7/10/2025 18:53,Residential,"525 N MAIN ST, NORTH CANTON, OH 44720",3500,jnh builders,replaceing exsisting railings and the exsisting set of steps 
ELCT-25-107,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",7/9/2025 18:44,Commercial/Industrial,"250 ORION ST NW, NORTH CANTON, OH 44720",1000,Abbott Electric Inc,Wiring for an air conditioner and furnace.
RBLD-25-98,Residential Building Permit,Residential Building Permit,New Construction/Home,7/23/2025 12:05,Residential,"920 ROYAL OAK AVE NE, NORTH CANTON, OH 44720",800000,"Classic Custom Homes & Remodeling, LLC",New construction single family home
ROOF-25-107,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/9/2025 16:49,Residential,"520 HEATHERWOOD ST SW, NORTH CANTON, OH 44720",12700,Country Roofing & Exteriors LLC,Re-roof
ROOF-25-108,Roof Permit,Commercial Roof Permit,New/ Re-Roof,7/9/2025 18:35,Commercial/Industrial,"6625 MARKET AVE N, CANTON, OH 44721",55480,"Your Roof Solutions, LLC",Roof Replacement
LTRL-25-47,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral Repair/Replace,7/11/2025 13:48,Residential,"318 MCKINLEY AVE SE, NORTH CANTON, OH 44720",3442,"Drain Ops, LLC  dba Dig Ops",Excavate sewer line near sidewalk back towards flower bed on the right of the house to repair bad offsets in the line that is preventing the flow.New line will be installed with PVC and a clean out will be installed outside 
HVAC-25-208,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/9/2025 20:22,Residential,"1422 LIPTON AVE SW, NORTH CANTON, OH 44720",6812.98,SITTLER ENTERPRISES,
HVAC-25-207,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/9/2025 20:19,Residential,"460 HILLCREST AVE NW, NORTH CANTON, OH 44720",12620.61,SITTLER ENTERPRISES,
HVAC-25-206,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/9/2025 20:21,Residential,"813 HARMON ST SW, NORTH CANTON, OH 44720",13022.13,SITTLER ENTERPRISES,
LTRL-25-48,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral Repair/Replace,7/9/2025 19:17,Residential,"114 WISE AVE NE, NORTH CANTON, OH 44720",3450,ABC DRAIN AND PLUMBING,WATER LINE REAPIR 
ROOF-25-106,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/9/2025 12:27,Residential,"825 7TH ST NE, NORTH CANTON, OH 44720",10000,Apple creek roofing,Tearoff and replace with shingles 
ROOF-25-109,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/14/2025 16:57,Residential,"1050 ORCHARD AVE NE, NORTH CANTON, OH 44720",13931,Royalty Roofs,complete tear off and reroof of home
RBLD-25-95,Residential Building Permit,Residential Building Permit,New Accessory Structure,7/16/2025 19:01,Residential,"900 OAKWOOD ST SE, NORTH CANTON, OH 44720",8,joseph p.nasser  d.b.a,10 by 10 deck
ELCT-25-108,Electrical Permit,Commercial Electrical Permit,Alteration/Remodel,7/11/2025 18:05,Commercial/Industrial,"1664 N MAIN ST, Unit 15/16/17, NORTH CANTON, OH 44720",2000,Barille construction co,Addition of powerpole for security gate at Marc's store
HVAC-25-205,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/9/2025 21:13,Residential,"1323 CLEARMOUNT AVE SE, NORTH CANTON, OH 44720",5500,HAAS HEATING AND COOLING,
PLMB-25-139,Plumbing Permit,Residential Plumbing Permit,Water Heater,7/8/2025 16:13,Residential,"1026 BEL AIR DR NW, NORTH CANTON, OH 44720",1745,Mayes and Sons Plumbing Company,Replacing water heater
LTRL-25-46,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Water Lateral Repair/Replace,7/10/2025 12:25,Commercial/Industrial,"1201 S MAIN ST, NORTH CANTON, OH 44720",1200,"JEM Plumbing, INC",Excavate water service line to locate and repair a leak.
ROOF-25-110,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/10/2025 20:18,Residential,"189 RANDAL CIR NE, NORTH CANTON, OH 44720",12000,Shrock Construction Inc,Tear off existing roof and reshingle roof
HVAC-25-204,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/7/2025 18:06,Residential,"1375 WESTVIEW CIR SE, NORTH CANTON, OH 44720",5500,Wyles Heating & Air Conditioning,
PLMB-25-137,Plumbing Permit,Residential Plumbing Permit,Water Heater,7/21/2025 19:47,Residential,"1041 VALLEY DR NW, NORTH CANTON, OH 44720",1200,Bryant Heating & Cooling,Replaced water heater 
HVAC-25-203,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/21/2025 19:47,Residential,"1101 BROWNING AVE NW, NORTH CANTON, OH 44720",4000,Bryant Heating & Cooling,
RBLD-25-94,Residential Building Permit,Residential Building Permit,Alteration/Remodel,7/21/2025 12:18,Residential,"818 PINEVIEW AVE SE, NORTH CANTON, OH 44720",17000,,"Re-do existing deck with composite boards and new railing. Replace frame boards as needed, extend 2 ft.(260 to 312sqft), add additional steps (current steps too tall)"
WNDW-25-56,Window Permit,Residential Window Permit,Replacement (Exact),7/7/2025 11:07,Residential,"215 SUTTON AVE NE, NORTH CANTON, OH 44720",41043,,REMOVE & REPLACE  3 STORM DOOR: 3 ENTRY DOOR: LIKE FOR LIKE SIZE; NO STRUCTURAL CHANGES
PLMB-25-136,Plumbing Permit,Residential Plumbing Permit,Water Heater,7/3/2025 20:18,Residential,"906 BACHTEL ST SE, NORTH CANTON, OH 44720",1400,Wiese Plumbing,replaced hwh
ROOF-25-105,Roof Permit,Residential Roof Permit,New/ Re-Roof,7/7/2025 18:48,Residential,"242 SUMMIT ST SE, NORTH CANTON, OH 44720",19875,Royalty Roofs,complete tear off and reroof of home
HVAC-25-202,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/7/2025 9:14,Residential,"237 5TH ST NE, NORTH CANTON, OH 44720",8500,"AMERIPRO PLUMBING AND HEATING, LLC",
HVAC-25-201,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 19:51,Residential,"411 SHERBROOK CIR NE, Unit C, NORTH CANTON, OH 44720",4940,Wyles Heating & Air Conditioning,
HVAC-25-200,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 19:33,Residential,"328 ROSE LANE ST SE, Unit 2, NORTH CANTON, OH 44720",1,GMC Heating & Cooling Inc.,
HVAC-25-199,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 15:45,Residential,"1653 CHATHAM AVE NE, NORTH CANTON, OH 44720",7000,"Crown Heating & Cooling, Inc",
WNDW-25-55,Window Permit,Residential Window Permit,Replacement (Exact),7/2/2025 16:11,Residential,"862 OAKRIDGE ST SW, NORTH CANTON, OH 44720",4900,,installing 12 insert replacement windows 
POOL-25-6,Swimming Pool Permit,Swimming Pool Permit,In-Ground,7/21/2025 14:26,Residential,"881 Honeysuckle Cir NE, North Canton, Oh 44720",113085,"Litehouse Products, LLC","18'x36' rectangle steel wall, vinyl liner inground pool with a AUTO-Cover."
HVAC-25-198,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 15:24,Commercial/Industrial,"241 S MAIN ST, NORTH CANTON, OH 44720",90000,J L Kolp Plumbing Heating & Cooling,
HVAC-25-197,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 15:24,Residential,"307 COLE AVE SW, NORTH CANTON, OH 44720",5253,J L Kolp Plumbing Heating & Cooling,
HVAC-25-196,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 15:53,Residential,"328 ROSE LANE ST SE, NORTH CANTON, OH 44720",6202,GMC Heating & Cooling Inc.,
HVAC-25-195,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 13:24,Residential,"1269 WESTVIEW CIR SE, NORTH CANTON, OH 44720",8189.7,SITTLER ENTERPRISES,
HVAC-25-194,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 13:19,Residential,"500 WOODROW ST NW, NORTH CANTON, OH 44720",5947.63,SITTLER ENTERPRISES,
HVAC-25-192,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/1/2025 19:11,Residential,"1313 CLEARMOUNT AVE SE, NORTH CANTON, OH 44720",10000,CKP Heating and Cooling LLC,
WNDW-25-54,Window Permit,Residential Window Permit,Replacement (Exact),7/1/2025 16:24,Residential,"32 AUBURN AVE SE, NORTH CANTON, OH 44709",3345,,patio door replacement (same size)
HVAC-25-191,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/1/2025 15:46,Residential,"520 WOODSIDE AVE NE, NORTH CANTON, OH 44720",5400,Crescenze Cooling & Heating,
LTRL-25-44,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral Repair/Replace,7/1/2025 15:08,Residential,"718 FORD AVE SW, NORTH CANTON, OH 44720",5200,Miracle Plumbing & Heating Co. Inc.,Water lateral repair
ELCT-25-106,Electrical Permit,Commercial Electrical Permit,Alteration/Remodel,7/17/2025 19:10,Commercial/Industrial,"525 7TH ST NE, NORTH CANTON, OH 44720",205000,"Kline Electric, Inc. ",Remodel fab lab
ELCT-25-105,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",6/30/2025 20:12,Residential,"1518 CAMBRIDGE AVE SW, NORTH CANTON, OH 44709",650,Abbott Electric Inc,Install interior sump pump outlet. 
ROOF-25-103,Roof Permit,Residential Roof Permit,New/ Re-Roof,6/30/2025 19:49,Residential,"354 HUME ST NE, NORTH CANTON, OH 44720",20000,LP3 Exteriors,We are replacing the old shingles with new shingles
HVAC-25-190,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,7/1/2025 16:05,Residential,"286 BONNETT ST SW, NORTH CANTON, OH 44720",5600,Hybrid Heating & Cooling,
HVAC-25-193,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,7/2/2025 11:55,Commercial/Industrial,"250 ORION ST NW, NORTH CANTON, OH 44720",9000,Reliable Heating and Cooling,
HVAC-25-189,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,6/30/2025 18:28,Residential,"490 CHAPPLE HILL DR NE, NORTH CANTON, OH 44720",5000,Summit Heating & Cooling LLC,
HVAC-25-188,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,6/30/2025 18:29,Residential,"317 WINSTON AVE NE, NORTH CANTON, OH 44720",10,Summit Heating & Cooling LLC,
ELCT-25-104,Electrical Permit,Residential Electrical Permit,New Construction/Addition,6/30/2025 16:47,Residential,"1126 Overridge Ave SE, North Canton, OH 44720",13940,"O.D. Miller Electric Co., Inc.",New Construction
WNDW-25-53,Window Permit,Residential Window Permit,Repair,6/30/2025 17:45,Residential,"911 BEL AIR DR NW, NORTH CANTON, OH 44720",2400,,Install new exterior door. Install storm door assembly.
PLMB-25-134,Plumbing Permit,Residential Plumbing Permit,Other,6/30/2025 14:52,Residential,"617 N MAIN ST, NORTH CANTON, OH 44720",185,Hartville Plumbing,Replace gas valve on water heater
HVAC-25-187,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,6/30/2025 13:09,Residential,"1252 E MAPLE ST, NORTH CANTON, OH 44720",5000,"Lakes Heating and Air Conditioning, Inc",
ROOF-25-102,Roof Permit,Residential Roof Permit,New/ Re-Roof,6/30/2025 13:02,Residential,"220 W MAPLE ST, NORTH CANTON, OH 44720",3872,Procon Exteriors,replacing shingles
ROOF-25-101,Roof Permit,Residential Roof Permit,New/ Re-Roof,6/30/2025 12:56,Residential,"1502 RED COACH ST SE, NORTH CANTON, OH 44720",16200,Country Roofing & Exteriors LLC,Re-roof
HVAC-25-186,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,6/30/2025 13:02,Residential,"222 WOODSIDE AVE NE, NORTH CANTON, OH 44720",10000,"Crown Heating & Cooling, Inc",
ELCT-25-103,Electrical Permit,Residential Electrical Permit,New Construction/Addition,7/8/2025 18:53,Residential,"1481 ALEXANDRIA PKWY SE, NORTH CANTON, OH 44709",2000,Westport Electric Inc.,New Covered Patio
LTRL-25-43,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral Repair/Replace,7/1/2025 16:42,Residential,"1228 BEL AIR DR NW, NORTH CANTON, OH 44720",4000,"Synergy, LLC",Replace exterior water service line
ELCT-25-102,Electrical Permit,Residential Electrical Permit,Other,8/7/2025 20:01,Residential,"1010 E MAPLE ST, NORTH CANTON, OH 44720",10350,"R & K Electric, Ltd","Upgrade electric service from 60 to 200-Amp; Relocate service lateral from peak of main house, to new garage addition; Rough-in for new garage additon, including new Arc-fault and GFCI protected 120 and 240-Volt circuits feeding smoke detectors, lights and receptacles. AEP disconnect #: 070 709 829; reconnect #: 079 402 382"
HVAC-25-185,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,6/30/2025 13:15,Residential,"1271 SALWAY AVE SW, NORTH CANTON, OH 44720",6874,SITTLER ENTERPRISES,
HVAC-25-184,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,6/27/2025 17:43,Residential,"980 ROYAL OAK AVE NE, NORTH CANTON, OH 44720",27000,Zoned Comfort Heating & Cooling,
