Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
PLMB-24-121,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/1/2024 20:17,Residential,"1859 CHESWOLD CIR NE, NORTH CANTON, OH 44720",1850,Buckeye Plumbing,Replace existing water heater and pan.  Install a new carbon monoxide detector.
PLMB-24-120,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,4/1/2024 21:05,Residential,"640 DEERFIELD DR SW, NORTH CANTON, OH 44720",2000,,Install replacement gas line
ROOF-24-28,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/2/2024 12:41,Residential,"335 CHAPPLE HILL DR NE, NORTH CANTON, OH 44720",11140,Benson Roofing And Siding,full reroof\gutters
ROOF-24-29,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/2/2024 12:43,Residential,"1391 NORTHFIELD AVE SE, NORTH CANTON, OH 44720",11650,Benson Roofing And Siding,full reroof
PLMB-24-115,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/2/2024 14:18,Residential,"135 SUTTON AVE NE, NORTH CANTON, OH 44720",1868,Miracle Plumbing & Heating Co. Inc.,40 Gallon Gas Water Heater Replacement
HVAC-24-68,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/2/2024 14:35,Residential,"1503 ALEXANDRIA PKWY SE, NORTH CANTON, OH 44709",17225,"THE K COMPANY, INC.",replacing 2 furnaces & 2 air conditioners
ROOF-24-25,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/2/2024 18:43,Residential,"518 WOODROW ST NW, NORTH CANTON, OH 44720",13786.89,Empire Roofing Solutions LLC,"Existing shingles and underlayment will be removed down to the deck. Any rotten/damaged wood will be replaced. Ice and Water barrier will be added to eaves, valleys and around pertrusions. Synthetic underlayment installed on full roof. Shingles to be installed with approved fasteners. Venting and trim metal will be replaced with new. All debris will be cleaned from job site and hauled away"
WNDW-24-15,Window Permit,Residential Window Permit,Repair,4/3/2024 11:19,Residential,"852 VALLEY DR NW, NORTH CANTON, OH 44720",6394,,"Remove and replace 1 window, no structural change."
WTAP-24-10,New Water Service / Tap-In,Water Connection Permit (Non-Residential),Commercial,4/3/2024 12:09,,"305 APPLEGROVE ST NW, NORTH CANTON, OH 44720",,,
HVAC-24-72,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/3/2024 12:31,Residential,"1494 DEMOCRACY DR NW, NORTH CANTON, OH 44720",8936,Bonsky Heating and Cooling ,Furnace Ac Replacement
HVAC-24-70,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/3/2024 12:59,Residential,"1130 7TH ST NE, NORTH CANTON, OH 44720",7569,SITTLER ENTERPRISES,REPLACING FURNACE
PLMB-24-65,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,4/3/2024 14:21,Residential,"132 7TH ST NE, NORTH CANTON, OH 44720",3885,Miracle Plumbing & Heating Co. Inc.,Stack Replacement
HVAC-24-71,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Heat Pump,4/3/2024 15:53,Residential,"731 SUMMIT CIR SE, NORTH CANTON, OH 44720",17385,SITTLER ENTERPRISES,REPLACING HEAT PUMP & AIR HANDLER
CBLD-24-15,Commercial Building Permit,Commercial Building Permit,Alteration/Remodel,4/3/2024 19:12,Commercial/Industrial,"2197 E Maple St, North Canton, Oh 44720",450000,RL Hill Management Inc,"Remodel of existing Starbucks store. Update beverage prep and cafe area. New equipment, new finishes and lighting fixtures"
WNDW-24-17,Window Permit,Residential Window Permit,Repalcement with Alterations,4/4/2024 11:23,Residential,"300 CHURCH ST SW, NORTH CANTON, OH 44720",14000,,Replacing exisiting screen room with new screens and vinyl 4 track windows
RBLD-24-43,Residential Building Permit,Residential Building Permit,Addition,4/4/2024 12:09,Residential,"1585 HILLBROOK AVE SE, NORTH CANTON, OH 44709",11790,"Bugh, Inc.",Adding 232 Sq Ft Deck to back of house.
ELCT-24-49,Electrical Permit,Commercial Electrical Permit,New Construction/Addition,4/4/2024 12:32,Commercial/Industrial,"500 APPLEGROVE ST NW, NORTH CANTON, OH 44720",168000,Mattingly Brothers Inc.,"New Electrical to include:400 amp 120/208 volt electrical serviceInstallation of power distribution circuits and devices for all lighting, mechanical and HVAC fixtures, and automotive equipment."
PLMB-24-124,Plumbing Permit,Residential Plumbing Permit,Other,4/4/2024 12:44,Residential,"327 VIKING ST NW, NORTH CANTON, OH 44720",165,"That Handyman, LLC dba That Plumber",Repair gas valve leak 
PLMB-24-125,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,4/4/2024 13:53,Residential,"561 MORELLO ST SW, NORTH CANTON, OH 44709",12000,J&M Services Inc.,Relocate fixtures 
ROOF-24-30,Roof Permit,Commercial Roof Permit,New/ Re-Roof,4/4/2024 14:24,Commercial/Industrial,"1113 N MAIN ST, Unit 014, NORTH CANTON, OH 44720",53000,"Shane Fisk Roofing Co,Inc","Remove Roof and roof deck, install 2x4 sleeprs over existsing trusses, install new plywood, install new roof system"
ELCT-24-50,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",4/4/2024 16:14,Residential,"414 10TH ST NE, NORTH CANTON, OH 44720",3000,Couto Electrical Contracting LLC,Rough in new electrical
ELCT-24-48,Electrical Permit,Commercial Electrical Permit,Alteration/Remodel,4/4/2024 16:20,Commercial/Industrial,"2197 E Maple St, North Canton, Oh 44720",52800,ESP Services Inc.,remodel of interior electrical and drive-thru
PLMB-24-123,Plumbing Permit,Commercial Plumbing Permit,Alteration/Remodel,4/4/2024 16:21,Commercial/Industrial,"2197 E Maple St, North Canton, Oh 44720",59500,ESP Services Inc.,Remodel interior plumbing 
HVAC-24-73,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Alteration/Remodel,4/4/2024 16:23,Commercial/Industrial,"2197 E Maple St, North Canton, Oh 44720",53300,ESP Services Inc.,Remodel of interior hvac
ROOF-24-31,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/4/2024 18:03,Residential,"325 BRIAR AVE NE, NORTH CANTON, OH 44720",15710,Coblentz Roofing & Construction,Reroof
HVAC-24-67,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/4/2024 18:31,Residential,"1060 OVERLAND AVE NE, NORTH CANTON, OH 44720",8700,"Crown Heating & Cooling, Inc",AC REPLACEMENT
HVAC-24-75,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/4/2024 19:21,Residential,"1017 VALLEYVIEW DR NW, NORTH CANTON, OH 44720",3763,Wyles Heating & Air Conditioning,Replace air conditioner
WNDW-24-19,Window Permit,Residential Window Permit,Replacement (Exact),4/5/2024 11:40,Residential,"1909 KINGSCOTE CIR NE, NORTH CANTON, OH 44720",17174,,Remove and install 6 windows-like sizes no structural changes
ELCT-24-47,Electrical Permit,Residential Electrical Permit,New Service/Change,4/5/2024 11:48,Residential,"1544 WESTFIELD AVE SW, NORTH CANTON, OH 44709",1200,Abbott Electric Inc,100-AMP overhead service
RBLD-24-45,Residential Building Permit,Residential Building Permit,Alteration/Remodel,4/5/2024 12:25,Residential,"266 MAPLECREST ST SW, NORTH CANTON, OH 44720",24954,Ohio State Home Services,internal and external drains to prevent seepage into the cellar
RBLD-24-46,Residential Building Permit,Residential Building Permit,Alteration/Remodel,4/5/2024 12:26,Residential,"849 OAKRIDGE ST SW, NORTH CANTON, OH 44720",22890,"Pioneer Basement Solutions, LLC",installing 80 LNFT exterior waterproofing with new sump pump system
PLMB-24-126,Plumbing Permit,Commercial Plumbing Permit,New Construction/Addition,4/5/2024 12:42,Commercial/Industrial,"305 APPLEGROVE ST NW, NORTH CANTON, OH 44720",60000,Zernechel Plbg.Co.,"waste,vent,water,gas piping"
ELCT-24-51,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",4/5/2024 14:25,Commercial/Industrial,"1474 N MAIN ST, Unit 1470, NORTH CANTON, OH 44720",300,Canal Fulton Enterprise,INSTALL 3 POWER CORDS TO TABLES
PLMB-24-129,Plumbing Permit,Commercial Plumbing Permit,Natural Gas Line,4/5/2024 16:13,Commercial/Industrial,"315 PERSHING AVE NE, Unit 363, NORTH CANTON, OH 44720",800,HOUSTON A S A P PLUMBING LLC,gas valves-hotwater tank 363-3/365-3/367-5 369-371-373-375-3/377-3 
PLMB-24-128,Plumbing Permit,Commercial Plumbing Permit,Natural Gas Line,4/5/2024 16:13,Commercial/Industrial,"315 PERSHING AVE NE, Unit 315, NORTH CANTON, OH 44720",800,HOUSTON A S A P PLUMBING LLC,315-3/ 317-3/ 319-5 321-323-325/327-3/329-3   gas valve
PLMB-24-130,Plumbing Permit,Commercial Plumbing Permit,Natural Gas Line,4/5/2024 16:14,Commercial/Industrial,"315 PERSHING AVE NE, Unit 315, NORTH CANTON, OH 44720",800,HOUSTON A S A P PLUMBING LLC,gas valve hot water tank 331-3/333-3/335-5/337/339/341/343-3/345-3/
PLMB-24-131,Plumbing Permit,Commercial Plumbing Permit,Natural Gas Line,4/5/2024 16:15,Commercial/Industrial,"315 PERSHING AVE NE, Unit 315, NORTH CANTON, OH 44720",800,HOUSTON A S A P PLUMBING LLC,gas valves 347-3/349-3/351-5/353/355/357/359-3361-3  hot water tank
HVAC-24-77,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/5/2024 19:45,Residential,"1020 ORCHARD AVE NE, NORTH CANTON, OH 44720",5700,Heartland Home Services,a/c replacement
WNDW-24-18,Window Permit,Residential Window Permit,Replacement (Exact),4/5/2024 20:08,Residential,"223 GLENWOOD ST SW, NORTH CANTON, OH 44720",5300,,"Remove and replace 6 windows, no structural change."
HVAC-24-76,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/5/2024 22:12,Residential,"507 W MAPLE ST, NORTH CANTON, OH 44720",9500,SITTLER ENTERPRISES,REPLACING FURNACE & A/C
HVAC-24-74,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Other,4/5/2024 22:14,Residential,"714 WOODSIDE AVE NE, NORTH CANTON, OH 44720",9590.16,SITTLER ENTERPRISES,REPLACING WATER BOILER
ROOF-24-32,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/8/2024 12:53,Residential,"439 MIDDLESWORTH AVE SW, NORTH CANTON, OH 44720",16822,Royalty Roofs,complete tear off and reroof of house 
ROOF-24-27,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/8/2024 13:24,Residential,"222 FAIRVIEW ST SE, NORTH CANTON, OH 44720",5000,,Tear off and replace roof
PLMB-24-132,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/8/2024 18:43,Residential,"1481 RADFORD ST NE, NORTH CANTON, OH 44720",580,,Replacing water heater.
ELCT-24-52,Electrical Permit,Residential Electrical Permit,Other,4/8/2024 19:07,Residential,"1017 VALLEYVIEW DR NW, NORTH CANTON, OH 44720",500,ALL OHIO ELECTRIC,wire a new air conditioner
PLMB-24-127,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,4/9/2024 3:18,Residential,"354 WHITTIER AVE NW, NORTH CANTON, OH 44720",75,Currence Home Maintence ,replace gas valve
ELCT-24-45,Electrical Permit,Commercial Electrical Permit,New Construction/Addition,4/9/2024 12:10,Commercial/Industrial,"305 APPLEGROVE ST NW, NORTH CANTON, OH 44720",200000,"Wood Electric, Inc.",Electrical - New Construction
HVAC-24-78,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/9/2024 13:02,Residential,"167 HINES ST SW, NORTH CANTON, OH 44720",8917,GMC Heating & Cooling Inc.,FURNACE & AC CHANGEOUT
PLMB-24-119,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,4/9/2024 15:06,Residential,"366 ROSE LANE ST SW, NORTH CANTON, OH 44720",2950,Miracle Plumbing & Heating Co. Inc.,Sewer Stack
ROOF-24-33,Roof Permit,Commercial Roof Permit,New/ Re-Roof,4/9/2024 15:18,Commercial/Industrial,"6535 MARKET AVE N, Unit Building 6539, CANTON, OH 44721",24300,Taylor Made Industries,Complete roof replacement for 6539 Market Ave N address
PLMB-24-133,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/9/2024 15:21,Residential,"1626 HILLBROOK AVE SE, NORTH CANTON, OH 44709",1500,By-tor Contracting Inc,Replacement of a water heater
POOL-24-2,Swimming Pool Permit,Swimming Pool Permit,Above Ground,4/10/2024 11:58,Residential,"1520 STAYMAN AVE SW, NORTH CANTON, OH 44709",5500,,Installtion of an bove ground swimming pool
RBLD-24-38,Residential Building Permit,Residential Building Permit,Alteration/Remodel,4/10/2024 12:24,Residential,"511 HOLL RD NE, NORTH CANTON, OH 44720",30000,Hughes Kitchens & Baths LLC,Main bathroom remodel
RBLD-24-44,Residential Building Permit,Residential Building Permit,New Construction/Home,4/10/2024 12:25,Residential,"965 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",500000,A C Construction Stark Inc.,New Home Build
PLMB-24-135,Plumbing Permit,Commercial Plumbing Permit,Water Heater,4/10/2024 13:13,Commercial/Industrial,"1455 E Maple St, North Canton, OH 44720",1350,Buckeye Plumbing,Replace bottom leaking electric water heater located in the concession stand area.
RBLD-24-21,Residential Building Permit,Residential Building Permit,Alter/Remodel,4/10/2024 15:28,Residential,"1065 OVERLAND AVE NE, NORTH CANTON, OH 44720",2500,,"removal of old deck. New deck assembly with new joists, railings, deck boards. plans used were from a slightly bigger deck. 2x8 supporting joists. Flashing tape on all joists."
ROOF-24-34,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/10/2024 17:18,Residential,"1233 WILLOW CREEK ST NE, NORTH CANTON, OH 44720",24000,ArmorGuard Roofing and Construction LLC,Remove existing roof and replace
HVAC-24-79,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/10/2024 18:37,Residential,"758 ARBURY AVE SE, NORTH CANTON, OH 44720",5625,"My HVAC Guy, LLC",Furnace replacement 
LTRL-24-25,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Sewer Lateral Repair/Replace,4/10/2024 20:03,Commercial/Industrial,"135 APPLEGROVE ST NE, NORTH CANTON, OH 44720",9315,"JEM Plumbing, INC",Replace existing cast iron line with schedule 40 PVC
ROOF-24-35,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/11/2024 9:29,Residential,"415 CHAPPLE HILL DR NE, NORTH CANTON, OH 44720",15000,Pence Bros. Siding Inc.,Roof replacement 
PLMB-24-136,Plumbing Permit,Residential Plumbing Permit,Fixture Replacement,4/11/2024 15:06,Residential,"175 APPLEGROVE ST NE, Unit A2, NORTH CANTON, OH 44720",281.41,"JEM Plumbing, INC",Replace washing machine valves
LTRL-24-24,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral Repair/Replace,4/11/2024 15:15,Residential,"965 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",1500,Beacon Excavating,New Sewer
WNDW-24-20,Window Permit,Residential Window Permit,Replacement (Exact),4/11/2024 18:25,Residential,"125 PERSHING AVE NE, NORTH CANTON, OH 44720",1100,,glass block basement window
HVAC-24-80,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/11/2024 19:15,Residential,"1587 CHADFORD GATE SE, NORTH CANTON, OH 44709",4700,Elsass Heating and Cooling Inc,Replace existing AC unit
PLMB-24-122,Plumbing Permit,Residential Plumbing Permit,Other,4/12/2024 11:45,Residential,"201 ROSE LANE ST SE, Unit 1, NORTH CANTON, OH 44720",150,"R T Hampton Plumbing & Heating, Inc",Two lines need capped per rental inspector. 
WNDW-24-21,Window Permit,Residential Window Permit,Replacement (Exact),4/12/2024 12:17,Residential,"636 PENNY ST SE, NORTH CANTON, OH 44720",2795,,Remove a 3 lite slider window and replace with new. Same style and size. No structural changes to opening required.
HVAC-24-82,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/12/2024 13:13,Residential,"561 MORELLO ST SW, NORTH CANTON, OH 44709",9000,"ameripro plumbing and heating, llc",INSTALL NEW FURNACE AND AC
ROOF-24-36,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/12/2024 18:17,Residential,"402 WOODROW ST NW, NORTH CANTON, OH 44720",8100,Country Roofing LLC,Re-roof
DEMO-24-5,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),4/15/2024 12:54,Commercial/Industrial,"1474 N MAIN ST, NORTH CANTON, OH 44720",20000,Krumroy-Cozad Construction Corp.,
ELCT-24-55,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",4/15/2024 12:55,Commercial/Industrial,"450 N MAIN ST, Unit 452, NORTH CANTON, OH 44720",500,"O.D. Miller Electric Co., Inc.",Supply & install (3) smoke / CO combos; Wire for (1) smoke / CO in basement; Wire for (1) smoke / CO on 1st floor; Wire for (1) smoke / CO on 2nd floor
WTAP-24-12,New Water Service / Tap-In,Water Connection Permit (Residential),Single-Family Residential,4/15/2024 17:09,,"1328 SHILOH RUN SE, CANTON, OH 44709",,,
RBLD-24-51,Residential Building Permit,Residential Building Permit,Alteration/Remodel,4/15/2024 19:13,Residential,"402 ADENA ST NE, NORTH CANTON, OH 44720",22480,Ohio State Home Services,Internal and external drains to prevent seepage into the cellar.
DEMO-24-6,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),4/16/2024 13:52,Residential,"6617 Wise Ave. NW, North Canton, OH 44720",9600,Ray Bertolini Trucking Co,
DEMO-24-7,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),4/16/2024 13:54,Residential,"6647 Wise Ave. NW, North Canton, OH 44720",10100,Ray Bertolini Trucking Co,
PLMB-24-137,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,4/16/2024 14:07,Residential,"511 HOLL RD NE, NORTH CANTON, OH 44720",500,"That Handyman, LLC dba That Plumber",Single vanity to doubleTub shower to showermain bathroom
PLMB-24-138,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/16/2024 16:19,Residential,"1465 WILKSHIRE CIR SW, NORTH CANTON, OH 44720",560,,Replace water heater
ELCT-24-53,Electrical Permit,Commercial Electrical Permit,Alteration/Remodel,4/16/2024 20:26,Commercial/Industrial,"181 APPLEGROVE ST NE, NORTH CANTON, OH 44720",100,MAXX ELECTRIC LLC,REPLACING CHILLER
WNDW-24-22,Window Permit,Residential Window Permit,Replacement (Exact),4/17/2024 11:28,Residential,"1432 WESTFIELD AVE SW, NORTH CANTON, OH 44720",285,,Taking out a window that was improperly installed when we bought the house and replacing it with Glass block by a contracted company
ELCT-24-56,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,4/17/2024 11:29,Residential,"511 HOLL RD NE, NORTH CANTON, OH 44720",800,Pauli Electric,Bathroom remodel
RBLD-24-52,Residential Building Permit,Residential Building Permit,Other,4/17/2024 12:07,Residential,"120 MARQUARDT AVE NE, NORTH CANTON, OH 44720",5600,"Pioneer Basement Solutions, LLC",installing 50 LNFT of interior waterproofing with new sump pump system. Licensed electrician to pull permit for dedicated outlet. 
RBLD-24-50,Residential Building Permit,Residential Building Permit,Other,4/17/2024 12:08,Residential,"522 WOODLAND AVE SW, NORTH CANTON, OH 44720",5000,"Metheney Landscape.Drainage,Construction","Will install basement walls perimeter drains(interior) as follows:Cut/and remove concrete 17"" in width from perimeter wall,alongeast and south walls of basement App:64 ft in total length.Remove and dispose of concrete.Excavate and remove soils 12"" deepin cut out areas.Drill wall block cells under floor grade to release wall waters into trench(2 holes per block/5/8 in width).Apply2"" #57 washed gravels to ditch bottom.Install 3"" Pvc.Perforated piping in center ditch.Pipe/plumb system to discharge into below floor sump crock.install sump pump and pipe all to discharge to exterior above grade,and discharge into outside gutter drains piping.Fill remainder of interior ditch to below concrete level with #57 washed gravel.Install dmx (dimple)type sheet over gravel and 3""up primeter wall.replace removed concrete and smooth trowel to match existing floor"
RBLD-24-48,Residential Building Permit,Residential Building Permit,Other,4/17/2024 12:08,Residential,"219 WOODSIDE AVE NE, NORTH CANTON, OH 44720",0,,Building a deck
PLMB-24-139,Plumbing Permit,Residential Plumbing Permit,Backflow Device,4/18/2024 14:08,Residential,"970 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",1000,Countryside Plumbing Inc.,INSTALLING BACKFLOW FOR IRRIGATION
ELCT-24-58,Electrical Permit,Residential Electrical Permit,New Construction/Addition,4/19/2024 12:24,Residential,"965 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",15000,One Contact LLC,Wiring
ELCT-24-57,Electrical Permit,Residential Electrical Permit,New Construction/Addition,4/19/2024 12:27,Residential,"920 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",15000,One Contact LLC,Wiring of new home
ROOF-24-37,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/19/2024 12:57,Residential,"320 SUTTON AVE NE, NORTH CANTON, OH 44720",17000,Trust Restoration Services LLC,Tear off and new roof
HVAC-24-84,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/19/2024 15:09,Residential,"1824 SWANHURST CIR NE, NORTH CANTON, OH 44720",8140,Zoned Comfort Heating & Cooling,Replacement
ROOF-24-38,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/19/2024 15:09,Residential,"341 EDGEWOOD ST SE, NORTH CANTON, OH 44720",41000,Procon Exteriors,Replacing shingles on the existing roof
PLMB-24-141,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/22/2024 18:12,Residential,"828 HARMON ST SW, NORTH CANTON, OH 44720",500,,Gas water heater
HVAC-24-85,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,4/22/2024 18:14,Residential,"920 HONEYSUCKLE CIR NE, NORTH CANTON, OH 44720",16000,A C Construction Stark Inc.,"Install a furnace, air conditioner and ductwork"
ELCT-24-59,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,4/22/2024 18:27,Residential,"1619 SPERRY LN SE, CANTON, OH 44709",1200,Hilscher Clarke Electric,hardwire 50amp breaker for EV charger
ELCT-24-60,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",4/23/2024 12:48,Commercial/Industrial,"1785 BEECHWOOD AVE NE, Unit 10, NORTH CANTON, OH 44720",300,"O.D. Miller Electric Co., Inc.",Add (1) receptacle under sink for dishwasher & disposal
ROOF-24-39,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/23/2024 17:46,Residential,"620 DURKIN WAY SW, NORTH CANTON, OH 44720",17500,Landmark Construction ,"Remove existing shingles and replace with 30 year certainteed dimensional shingls, new ice and water per code, drip edge, synthetic felt, all flashings and continuous ridge vent"
DEMO-24-8,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),4/23/2024 19:34,Commercial/Industrial,"455 N MAIN ST, NORTH CANTON, OH 44720",9500,Ray Bertolini Trucking Co,
ELCT-24-62,Electrical Permit,Residential Electrical Permit,New Construction/Addition,4/23/2024 19:53,Residential,"1605 WILBUR DR NE, NORTH CANTON, OH 44720",3000,"O.D. Miller Electric Co., Inc.",Wire for addition on building permit # RBLD-24-17
WNDW-24-23,Window Permit,Residential Window Permit,Replacement (Exact),4/23/2024 20:03,Residential,"308 ROSE LANE ST SE, NORTH CANTON, OH 44720",3000,,Replacing four windows: 3 double hungs and one picture window. We will also be swapping out the current front door with another 6-panel fiberglass entry door. 
ELCT-24-61,Electrical Permit,Residential Electrical Permit,New Service/Change,4/23/2024 20:10,Residential,"144 BRIAR AVE NE, NORTH CANTON, OH 44720",2856,"O.D. Miller Electric Co., Inc.",Supply & install 200 amp OVH meter base; 200 amp main breaker disconnect; 200 amp 120/240 volt main lug panel; new service entrance cable from power company POA; new service entrance cable from meter and disconnect to new panel; grounding and bonding per NEC
RBLD-24-56,Residential Building Permit,Residential Building Permit,Other,4/23/2024 20:17,Residential,"542 GLENWOOD ST SW, NORTH CANTON, OH 44720",7520,"Pioneer Basement Solutions, LLC",installing 20 LNFT interior waterproofing and 15 LNFT exterior waterproofing with new sump pump system. 
ROOF-24-40,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/23/2024 20:46,Residential,"1604 SPERRY LN SE, CANTON, OH 44709",14000,Pro Window& Home Renovation ,Residential re roof - tear off and replace
LTRL-24-26,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Sewer Lateral Repair/Replace,4/24/2024 12:48,Commercial/Industrial,"500 APPLEGROVE ST NW, NORTH CANTON, OH 44720",2000000,Precision Excavating & Grading Co. INC,"install sanitary sewer and storm drains, connect water- we will try to use exsiting, but may need to replace"
ROOF-24-41,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/24/2024 13:52,Residential,"841 LORENA ST SW, NORTH CANTON, OH 44720",9000,Terry Friel,Tear-off existing roofing and Install new dimensional asphalt shingle roof according to manufacturer recommendations and N. C. building code
PLMB-24-69,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/24/2024 17:39,Residential,"331 ORION ST NE, NORTH CANTON, OH 44720",759,New Phoenix Enterprises dba APPC Plumbing Services,replace Rheem 50 gal gas hwt $759
ROOF-24-42,Roof Permit,Residential Roof Permit,Partial Replacement,4/24/2024 19:05,Residential,"235 JAMES ST SW, NORTH CANTON, OH 44720",7000,Premier Construction & Restoration Services LLC,Replace front slopes of house roof
ROOF-24-43,Roof Permit,Residential Roof Permit,New/ Re-Roof,4/25/2024 13:11,Residential,"720 LORENA ST SW, NORTH CANTON, OH 44720",9975,Oscar Contracting LLC,"Emoved old shingle, Ice guard, underliment, dripedge, install new roof, ridge vent, reflash chimney, clean up "
HVAC-24-87,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,4/25/2024 14:06,Residential,"1143 OVERLAND AVE NE, NORTH CANTON, OH 44720",5250,Bonsky Heating and Cooling ,AC replacement
PLMB-24-143,Plumbing Permit,Residential Plumbing Permit,Water Heater,4/25/2024 18:03,Residential,"320 FAIRVIEW ST SE, NORTH CANTON, OH 44720",759,New Phoenix Enterprises dba APPC Plumbing Services,replace Rheem 40 gal gas hwt $759 Gretchen Bercaw 330-280-2182
WNDW-24-26,Window Permit,Residential Window Permit,Replacement (Exact),4/25/2024 20:37,Residential,"1152 ROSEWOOD CIR SE, NORTH CANTON, OH 44720",50524,,"Remove and install 8 windows, 1 entry door and 1 patio door-like sizes. No structural changes"
WNDW-24-25,Window Permit,Residential Window Permit,Replacement (Exact),4/25/2024 20:37,Residential,"845 ROSE LANE ST SW, NORTH CANTON, OH 44720",3503.08,,Replace old wood window sashes with new white vinyl ones 
WNDW-24-24,Window Permit,Residential Window Permit,Replacement (Exact),4/25/2024 20:38,Residential,"351 EASTWIND CIR NW, NORTH CANTON, OH 44720",67296,,"Remove and install 12 windows, 1 entry door & 1 patio door-like sizes. No structural changes"
RBLD-24-55,Residential Building Permit,Residential Building Permit,Other,4/25/2024 20:50,Residential,"1305 EASTWOOD CIR SE, NORTH CANTON, OH 44720",15000,,Shed from Millcraft
RBLD-24-53,Residential Building Permit,Residential Building Permit,Alteration/Remodel,4/26/2024 12:13,Residential,"217 SUMMIT ST SE, NORTH CANTON, OH 44720",29290,Ohio State Home Services,Internal and external drains to prevent seepage into the cellar. 
ROOF-24-44,Roof Permit,Commercial Roof Permit,Partial Replacement,4/26/2024 14:32,Commercial/Industrial,"300 9TH ST NW, NORTH CANTON, OH 44720",27300,McCurry Roofing,Office section of the roof
